NB2020 [fctp] data (yossy) 2026-01-10
user	FG	FN	SID	Tagnames	REFUSE	ENERC	ENERC_KCAL	WATER	PROTCAA	PROT	PROTV	FAT	FATNLEA	FATV	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	CHOLE	CHOCDF	CHOAVLM	CHOAVL	CHOAVLDF	CHOV	FIB	FIBTG	FIBSOL	FIBINS	FIBTDF	FIBSDFS	FIBSDFP	FIBIDF	STARES	POLYL	OA	ASH	NA	K	CA	MG	P	FE	ZN	CU	MN	ID	SE	CR	MO	RETOL	CARTA	CARTB	CRYPXB	CARTBEQ	VITA_RAE	VITD	TOCPHA	TOCPHB	TOCPHG	TOCPHD	VITK	THIA	RIBF	NIA	NE	VITB6A	VITB12	FOL	PANTAC	BIOT	VITC	ALC	NACL_EQ	Notice
yossy	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	16	0	0	0	0	184	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	3	0	0	0	0	1627	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	1	0	0	0	0	912	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	3	0	0	0	0	1167	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	12	0	0	0	0	720	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yossy	6	0	0	0	0	282	67	80	2	3	2	0	0	0	0	0	0	0	0	0	15	11	10	9	10	6	3	0	3	6	0	1	4	0	0	0	0	22	223	20	21	73	0	0	0	0	0	1	1	28	0	1314	3190	16	3838	321	0	0	0	0	0	11	0	0	1	1	0	0	52	0	3	9	0	0	0
yossy	10	0	0	0	0	439	104	72	17	23	17	1	0	0	0	0	0	0	0	237	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	263	282	50	52	303	7	2	0	0	5	21	0	0	9	0	14	0	23	11	0	2	0	0	0	1	0	0	3	7	0	19	9	0	2	1	0	0	0
