FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
01041	(0.91)	(0.25)	(0.10)	(0.56)	(0.03)	(0.53)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(240)	-	(1)	-	(11)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(95)	-	-	(4)	(0)	(0)	(0)	(0)	(0)	(530)	(29)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01018中力粉1等から推計		
01042	(0.41)	(0.11)	(0.04)	(0.25)	(0.01)	(0.24)	-	-	-	-	(0)	(0)	-	(1)	(Tr)	-	(110)	-	(1)	-	(5)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(43)	-	-	(2)	(0)	(0)	(0)	(0)	(0)	(240)	(13)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01018中力粉1等から推計		
01043	(0.91)	(0.25)	(0.10)	(0.56)	(0.03)	(0.53)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(240)	-	(1)	-	(11)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(95)	-	-	(4)	(0)	(0)	(0)	(0)	(0)	(530)	(29)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01018中力粉1等から推計		
01044	(0.33)	(0.09)	(0.04)	(0.20)	(0.01)	(0.19)	-	-	-	-	(0)	(0)	-	(1)	(Tr)	-	(86)	-	(Tr)	-	(4)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(34)	-	-	(1)	(0)	(0)	(0)	(0)	(0)	(190)	(10)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	01018中力粉1等から推計		
01045	1.36	0.38	0.23	0.75	0.03	0.73	-	-	-	-	0	Tr	-	4	2	-	330	-	2	-	29	3	3	3	0	0	0	3	1	220	210	11	4	4	1	0	0	0	730	26	0	0	0	-	0	0	0	0	0	0	0	0	0	0	-			
01046	(0.54)	(0.15)	(0.09)	(0.30)	(0.01)	(0.29)	-	-	-	-	(0)	(Tr)	-	(2)	(1)	-	(130)	-	(1)	-	(12)	(1)	(1)	(1)	(0)	(0)	(0)	(1)	(Tr)	(87)	-	-	(2)	(1)	(Tr)	(0)	(0)	(0)	(290)	(10)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	01045手延そうめん・手延ひやむぎ乾から推計		
01047	(0.99)	(0.28)	(0.11)	(0.61)	(0.03)	(0.58)	-	-	-	-	(0)	(0)	-	(2)	(1)	-	(260)	-	(1)	-	(12)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(100)	-	-	(4)	(0)	(0)	(0)	(0)	(0)	(580)	(31)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01020強力粉1等から推計		
01048	(0.50)	(0.14)	(0.05)	(0.31)	(0.02)	(0.29)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(130)	-	(1)	-	(6)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(52)	-	-	(2)	(0)	(0)	(0)	(0)	(0)	(290)	(16)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01020強力粉1等から推計		
01187	(3.36)	(0.91)	(0.38)	(2.07)	(0.10)	(1.97)	-	-	-	-	(0)	(0)	-	(5)	(2)	-	(860)	-	(4)	-	(38)	(3)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(370)	(370)	-	(12)	(0)	(0)	(0)	(0)	(0)	(2000)	(97)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01020強力粉1等から推計		
01049	(1.39)	(0.38)	(0.16)	(0.85)	(0.04)	(0.81)	-	-	-	-	(0)	(0)	-	(2)	(1)	-	(360)	-	(2)	(0)	(16)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(150)	(150)	-	(5)	(0)	(0)	(0)	(0)	(0)	(810)	(40)	(0)	(0)	(0)	-	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01020強力粉1等から推計		
