FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
03032	-	-	-	14.0†	Tr†	0	Tr†	14.0†	マルトトリイトール： 8.2 g<br>†は規定法による測定値				
03029	0	0	0	-	-	-	-	-					
04001	1.0	14.2	15.3	5.3	2.4	17.1	0.6	24.8					
04002	0.8	11.3	12.1	1.7	0.8	6.2	1.1	8.7					
04003	0.5	2.9	3.4	-	-	-	-	-					
04004	0.3	6.5	6.8	-	-	-	-	-					
04005	1.0	25.8	26.8	-	-	-	-	-					
04101	(0.2)	(3.7)	(3.9)	-	-	-	-	-	原材料配合割合から推計				
04102	(0.2)	(3.4)	(3.5)	-	-	-	-	-	原材料配合割合から推計				
04103	(0.2)	(3.4)	(3.5)	-	-	-	-	-	原材料配合割合から推計				
04111	-	-	-	1.2	0.7	6.0	1.5	7.9					
04006	0.5	5.2	5.7	-	-	-	-	-					
04007	3.3	16.2	19.6	-	-	-	-	-					
04008	1.5	12.0	13.6	-	-	-	-	-					
04009	1.3	4.6	5.9	-	-	-	-	-					
04010	0.5	8.0	8.5	-	-	-	-	-					
04011	4.3	0.5	4.8	-	-	-	-	-					
04012	1.2	16.2	17.4	-	-	-	-	-					
04013	0.5	7.2	7.7	-	-	-	-	-					
04074	1.2	16.2	17.4	-	-	-	-	-					
04075	0.5	7.2	7.7	-	-	-	-	-					
04014	0.9	18.7	19.6	-	-	-	-	-					
04015	1.1	16.8	17.9	-	-	-	-	-					
04016	0.7	4.6	5.3	-	-	-	-	-					
04112	-	-	-	2.8	0.8	4.6	1.4	8.2					
04017	1.3	17.1	18.4	-	-	-	-	-					
04018	0.8	9.9	10.7	-	-	-	-	-					
04019	1.3	8.0	9.3	-	-	-	-	-					
04020	0.9	14.0	14.9	-	-	-	-	-					
04021	1.4	4.5	5.9	-	-	-	-	-					
04022	0.8	3.7	4.5	-	-	-	-	-					
04076	0.8	9.3	10.1	-	-	-	-	-					
04104	-	-	-	4.0	1.1	15.0	Tr	20.1					
04105	-	-	-	0.9	0.6	6.4	0	8.0					
04023	1.5	16.4	17.9	4.6	1.5	15.4	-	21.5					
04024	0.9	5.8	6.6	1.3	0.9	6.4	-	8.5					
04025	0.9	15.0	15.9	-	-	-	-	-					
04026	0.9	14.7	15.6	-	-	-	-	-					
04027	1.0	16.3	17.3	-	-	-	-	-					
04077	1.4	14.6	16.0	4.4	1.4	14.8	0.1	20.6					
04106	-	-	-	1.0	0.8	6.2	Tr	7.9					
04080	2.2	16.2	18.4	-	-	-	-	-					
04078	2.4	17.1	19.4	-	-	-	-	-					
04079	2.4	16.9	19.2	-	-	-	-	-					
04028	0.4	6.4	6.8	-	-	-	-	-					
04081	2.3	6.5	8.8	2.3	1.9	6.5	-	10.6					
04082	1.9	15.0	16.9	-	-	-	-	-					
04096	-	-	-	5.5	2.1	13.1	-	20.8	別名：青大豆きな粉、うぐいす色きな粉あるいはうぐいすきな粉				
04029	2.7	15.4	18.1	-	-	-	-	-					
04030	2.4	12.9	15.3	-	-	-	-	-					
04109	(1.0)	(7.5)	(8.4)	-	-	-	-	-	原材料配合割合から推計				
04110	(1.3)	(7.7)	(9.0)	-	-	-	-	-	原材料配合割合から推計				
04083	2.8	16.0	18.8	-	-	-	-	-					
04031	1.3	5.0	6.3	-	-	-	-	-					
