NB2020 [media] data (yossy) 2026-01-08
user	code	origin	base	type	date	zidx	alt
yossy	yo-p-190a-3234-4f71-0bd9	yo-r-fbEl8t1hTsuL6bROMRFs	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-197a-67ee-cb8f-8ecd	yo-r-5gcXByyDNlrX8D5UY9EB	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-198fac387ced2f9f1d1b	yo-r-7fa87e88e1ec9acd4bc6	recipe	jpg	2023-04-15 10:46:26 +0900		K1SI6893.JPG
yossy	yo-p-19995e9987d7e178995a	yo-r-a87cdd34aaae6b7b8088	recipe	jpg	2022-02-16 21:15:58 +0900		K1SI6045.JPG
yossy	yo-p-1a28-db83-c0b6-b2c7	yo-r-Yz5G0DuYnyTqQd0UfEmH	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1a3b-5d6c-b554-0b1f	yo-r-214c-676e-51c1-d5ef	recipe	jpg	2021-03-29 08:03:22 +0900		K1SI5270.JPG
yossy	yo-p-1a3e-2cdc-4031-6761	yo-r-grM4FjNCPPurWpDNboZd	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1a9e-e80d-dcb4-3f51	yo-r-dlhjAyd12Zir58ouErn5	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1aa5-9614-3353-f5d6	yo-r-ded3-c4dd-8aaf-ac81	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1b2486294ade0a709fa6	yo-r-0c58d0aad836dcadb7ac	recipe	jpg	2022-03-02 21:41:35 +0900		PXL_20211231_063950043.PORTRAIT.jpg
yossy	yo-p-1b52-a43f-ce6d-b608	yo-r-ec81-b311-c741-fcb2	recipe	jpg	2021-03-29 08:32:31 +0900		K1SI5291.JPG
yossy	yo-p-1b6d-a9c5-2f58-1bdd	yo-r-spZj1CIshpOLS2Bk7uCn	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1b73-9b8a-2c84-00a6	yo-r-wpx66GUastUwNwh19BIh	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1beefd66ddb104419d51	yo-r-dc40feb113ad07f439e4	recipe	jpg	2023-05-08 06:06:26 +0900		K1SI6924.JPG
yossy	yo-p-1bf3-564b-aa20-43ec	yo-r-Jt3KkqRmegTsgutKtzI8	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1bfe-29be-b1da-d8ed	yo-r-cDZLDmkqPYfHmR5679WG	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1c4c-f245-30c4-86e9	yo-r-d69b-aa81-9801-ef00	recipe	jpg	2021-08-09 22:11:25 +0900		K1SI5578.JPG
yossy	yo-p-1c8e-a8ec-8ff2-ee35	yo-r-R4bfhXNfYBNmaSG5Su73	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1ce7-4bd4-5e82-630c	yo-r-B2VMIiATxzODvtDDVlJK	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1d28-605d-1df2-721f	yo-r-82e0-85f3-b717-4058	recipe	jpg	2021-03-29 08:31:31 +0900		K1SI5293.JPG
yossy	yo-p-1d4c-8572-d8fa-7223	yo-r-IfnnPYe4hRPzZjkAoYaI	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1d7a-f126-cf65-6e5c	yo-r-jR7tPq7dGGcutgcx5gyh	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1daf-da4f-d556-1afe	yo-r-2e6e-68e0-eaf2-2507	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1dd2-a1f1-0e89-3195	yo-r-cncsJ5ZrZrgh5fYyRecW	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1e28-3704-8e85-2d07	yo-r-j1u96yTAkXbxSgLfUVVf	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
