FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
06007	-	-	-	-	-	0	-	0	-	0.2	-	-	0.1	-	-	-	-	-	0	-	-	-	0.2	
06010	-	-	-	-	-	Tr	-	0	0	0.2	-	0	0	-	-	-	-	-	0	-	-	-	0.3	
06011	-	-	-	-	-	(Tr)	-	(0)	(0)	(0.2)	-	-	-	-	-	-	-	-	-	-	-	-	(0.3)	06010さやいんげん生から推計
06023	-	-	0	-	-	0	-	Tr	0	0.1	-	Tr	0.1	-	-	-	-	-	-	-	-	-	0.2	
06024	-	-	-	-	-	-	-	(Tr)	(0)	(0.1)	-	(Tr)	(0.1)	-	-	-	-	-	-	-	-	-	(0.2)	06023グリンピース生から推計
06025	-	-	-	-	-	-	-	Tr	-	0.1	-	0	0.1	-	-	-	-	-	-	-	-	-	0.2	
06374	-	-	-	-	-	-	-	0	-	Tr	-	0	0.1	-	-	-	-	-	-	-	-	-	0.2	
06375	-	-	-	-	-	-	-	Tr	-	0.1	-	0	0.1	-	-	-	-	-	-	-	-	-	0.2	
06026	-	-	-	-	-	-	-	(Tr)	-	(0.1)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.2)	06025グリンピース冷凍から推計
06032	-	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	
06033	-	-	-	-	-	(0.1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(0.1)	06032オクラ生から推計
06036	-	-	-	-	-	-	-	-	-	0.1	-	-	0	-	-	-	-	-	-	-	-	-	0.1	
06037	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.2)	06036かぶ根皮つき生から推計
06038	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	
06048	-	-	-	-	-	-	-	-	-	0.2	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
06049	-	-	-	-	-	-	-	-	-	(0.2)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.4)	06048西洋かぼちゃ生から推計
06332	-	-	-	-	-	-	-	-	-	(0.3)	-	-	(0.3)	-	-	-	-	-	-	-	-	-	(0.5)	06048西洋かぼちゃ生から推計
06050	-	-	-	-	-	-	-	-	-	(0.2)	-	-	(0.2)	-	-	-	-	-	-	-	-	-	(0.4)	06048西洋かぼちゃ生から推計
06054	-	-	-	-	-	0	-	-	-	0.2	-	-	0.1	-	Tr	0	0.1	-	-	-	-	-	0.3	
06055	-	-	-	-	-	-	-	-	-	0.2	-	-	0.1	-	Tr	-	0.1	-	-	-	-	-	0.3	
06061	-	-	-	-	-	0	-	0	-	0.1	-	-	0.1	-	-	-	-	-	0	-	-	-	0.1	
06062	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.1)	06061キャベツ生から推計
06333	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.2)	可食部(100g)から脂質量(g)を差し引いた部分について06062キャベツゆでから再推計
06403	-	-	-	-	-	-	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
06404	-	-	-	-	-	-	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
06063	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.1)	06061キャベツ生から推計
06065	-	-	-	-	-	0	-	-	-	0.3	-	-	Tr	-	-	-	-	-	-	-	-	-	0.3	
06093	-	-	-	-	-	-	-	-	-	0.2	-	-	0.1	-	-	-	-	-	-	-	-	-	0.3	
06094	-	-	-	-	-	-	-	-	-	0.2	-	-	0.1	-	-	-	-	-	-	-	-	-	0.3	
06103	-	-	-	-	-	-	-	-	-	0.1	-	-	0.1	-	-	-	-	-	-	-	-	-	0.1	
06104	-	0.6	-	-	-	Tr	-	-	-	0.3	-	-	0.3	-	-	-	-	-	-	-	-	-	1.2	
06105	-	0.8	-	Tr	-	0.1	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	1.0	
06108	0	Tr	-	Tr	-	-	-	-	-	-	-	-	Tr	-	-	-	-	-	-	-	0.1	-	0.2	
06119	-	-	-	-	-	Tr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Tr	
06138	0	0.1	-	Tr	-	-	-	-	-	Tr	-	-	Tr	-	-	-	-	-	-	-	Tr	-	0.2	
06141	-	0.1	-	0.1	-	-	-	-	-	Tr	-	-	Tr	-	-	-	-	-	-	-	Tr	-	0.2	
06142	Tr	Tr	-	Tr	-	-	-	-	-	-	-	-	0.1	-	-	-	-	-	-	-	Tr	-	0.3	
06148	Tr	0.1	-	0.2	-	-	-	-	-	0	-	-	0.1	-	-	-	-	-	-	-	0.1	-	0.5	
06149	-	-	-	-	-	-	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
06150	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.1)	06149たけのこ生から推計
06153	-	-	-	-	-	0	-	-	-	0.1	-	-	0.1	-	-	-	-	-	-	-	-	-	0.2	
06156	-	-	-	-	-	0	-	-	-	0.2	-	-	0.1	-	-	-	-	-	-	-	-	-	0.3	
06376	-	-	-	-	-	(0)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(0)	文献値から推計
06377	-	-	-	-	-	(0)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(0)	文献値から推計推計
06160	-	-	-	-	-	-	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.1	
06161	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.1)	06160チンゲンサイ生から推計
06338	-	-	-	-	-	-	-	-	-	(0.1)	-	-	(Tr)	-	-	-	-	-	-	-	-	-	(0.1)	可食部(100g)から脂質量(g)を差し引いた部分について06160チンゲンサイ生から推計
06175	-	-	-	-	-	0	-	Tr	-	0.1	-	-	0	-	-	-	-	-	0	-	-	-	0.2	
06176	-	-	-	-	-	(0)	-	(Tr)	-	(0.1)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.2)	06175スイートコーン生から推計
06339	-	-	-	-	-	(0)	-	(Tr)	-	(0.1)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.2)	06175スイートコーン生から推計
